Nutrient,Age-sex group (*: excludes pregnant or breastfeeding),N,Article_group1,Food group_level1,Article_group2,Food group_level2,Article_group3,Food group_level3,Amount,Amount_SE,L95%CI,U95%CI,Unit,Percentage,Percentage_SE,Interpretation_Notes,Food_Group_Level
Calcium,Population 1 an et +,4411,des,Produits laitiers et Boissons à base de plantes,des,Laits et boissons à base de plantes,de la,Crème et autres types de lait,10,0.6,8.9,11.1,mg,1.2,0.1,,3
Calcium,Population 1 an et +,18258,des,Graisses et huiles,,,,,2.5,0.1,2.4,2.7,mg,0.3,0,,1
Calcium,Population 1 an et +,944,des,Graisses et huiles,des,Graisses animales,,,0,0,0,0,mg,0,0,,2
Calcium,Population 1 an et +,5492,des,Graisses et huiles,du,Beurre,,,0.7,0,0.7,0.8,mg,0.1,0,,2
Calcium,Population 1 an et +,10649,des,Graisses et huiles,des,Margarines,,,0.6,0,0.5,0.6,mg,0.1,0,,2
Calcium,Population 1 an et +,6743,des,Graisses et huiles,des,Sauces pour salade,,,1.2,0,1.1,1.3,mg,0.2,0,,2
Calcium,Population 1 an et +,7605,des,Graisses et huiles,du,Shortening,,,0,0,0,0,mg,0,0,,2
Calcium,Population 1 an et +,10208,des,Graisses et huiles,des,Huiles végétales,,,0,0,0,0,mg,0,0,,2
Calcium,Population 1 an et +,3197,des,Poissons et fruits de mer,,,,,8,0.5,7,8.9,mg,1,0.1,,1
Calcium,Population 1 an et +,2522,des,Poissons et fruits de mer,des,Poissons,,,5.8,0.5,4.9,6.7,mg,0.7,0.1,,2
Calcium,Population 1 an et +,924,des,Poissons et fruits de mer,des,Mollusques et crustacés,,,2.1,0.2,1.8,2.5,mg,0.3,0,,2
Calcium,Population 1 an et +,18914,des,Fruits et légumes,,,,,66.4,1.1,64.3,68.5,mg,8.1,0.1,,1
Calcium,Population 1 an et +,13689,des,Fruits et légumes,des,Fruits,,,18.6,0.4,17.8,19.5,mg,2.3,0.1,,2
Calcium,Population 1 an et +,17977,des,Fruits et légumes,des,Légumes incluant pommes de terre,,,47.8,0.9,46.1,49.5,mg,5.8,0.1,,2
Calcium,Population 1 an et +,3372,des,Fruits et légumes,des,Fruits,des,Agrumes,6.7,0.3,6.2,7.3,mg,0.8,0,,3
Calcium,Population 1 an et +,5026,des,Fruits et légumes,des,Fruits,des,Pomme,2.4,0.1,2.2,2.5,mg,0.3,0,,3
Calcium,Population 1 an et +,2103,des,Fruits et légumes,des,Fruits,des,Autres fruits,2.3,0.2,1.8,2.8,mg,0.3,0,,3
Calcium,Population 1 an et +,5308,des,Fruits et légumes,des,Fruits,des,Banane,1.5,0,1.4,1.5,mg,0.2,0,,3
Calcium,Population 1 an et +,4326,des,Fruits et légumes,des,Fruits,des,Baies,2,0.1,1.8,2.1,mg,0.2,0,,3
Calcium,Population 1 an et +,2881,des,Fruits et légumes,des,Fruits,des,Raisins et raisins secs,1.2,0.1,1,1.3,mg,0.1,0,,3
Calcium,Population 1 an et +,982,des,Fruits et légumes,des,Fruits,des,Melons,0.9,0.1,0.8,1.1,mg,0.1,0,,3
Calcium,Population 1 an et +,722,des,Fruits et légumes,des,Fruits,des,Poires,0.5,0,0.4,0.6,mg,0.1,0,,3
Calcium,Population 1 an et +,847,des,Fruits et légumes,des,Fruits,des,Ananas,0.4,0,0.3,0.5,mg,0.1,0,,3
Calcium,Population 1 an et +,513,des,Fruits et légumes,des,Fruits,des,Cerises,0.3,0,0.2,0.3,mg,0,0,,3
Calcium,Population 1 an et +,666,des,Fruits et légumes,des,Fruits,des,Pêches et nectarines,0.3,0,0.2,0.3,mg,0,0,,3
Calcium,Population 1 an et +,315,des,Fruits et légumes,des,Fruits,des,Prunes et pruneaux,0.1,0,0.1,0.2,mg,0,0,,3
Calcium,Population 1 an et +,15195,des,Fruits et légumes,des,Légumes incluant pommes de terre,des,Autres légumes,20.7,0.4,19.9,21.4,mg,2.5,0,,3
Calcium,Population 1 an et +,9274,des,Fruits et légumes,des,Légumes incluant pommes de terre,des,Légumes vert foncé,16.8,0.6,15.5,18,mg,2.1,0.1,,3
Calcium,Population 1 an et +,8457,des,Fruits et légumes,des,Légumes incluant pommes de terre,des,Légumes féculents,5.7,0.2,5.4,6.1,mg,0.7,0,,3
Calcium,Population 1 an et +,6318,des,Fruits et légumes,des,Légumes incluant pommes de terre,des,Légumes jaune foncé ou orange,4.6,0.2,4.2,4.9,mg,0.6,0,,3
Calcium,Population 1 an et +,19327,des,Produits céréaliers,,,,,102.9,1.2,100.6,105.2,mg,12.6,0.1,,1
Calcium,Population 1 an et +,16168,des,Produits céréaliers,des,Pains,,,69.6,1.1,67.5,71.7,mg,8.5,0.1,,2
Calcium,Population 1 an et +,6966,des,Produits céréaliers,des,Céréales pour déjeuner,,,15.5,0.5,14.4,16.5,mg,1.9,0.1,,2
Calcium,Population 1 an et +,5437,des,Produits céréaliers,des,Biscuits - gâteaux - tartes - biscuits à la poudre à pâte et barres granola,,,5.2,0.2,4.8,5.7,mg,0.6,0,,2
Calcium,Population 1 an et +,14820,des,Produits céréaliers,des,Pâtes alimentaires - riz - grains céréaliers et farines,,,12.7,0.3,12.1,13.3,mg,1.5,0,,2
Calcium,Population 1 an et +,8159,des,Produits céréaliers,des,Pains,des,Pains et petits pains blancs,31.2,0.7,29.7,32.7,mg,3.8,0.1,,3
Calcium,Population 1 an et +,5962,des,Produits céréaliers,des,Pains,des,Pains et petits pains à grains entiers et blé entier,19.3,0.6,18.2,20.4,mg,2.4,0.1,,3
Calcium,Population 1 an et +,6257,des,Produits céréaliers,des,Pains,des,Autres produits panifiés,16.8,0.6,15.6,18.1,mg,2.1,0.1,,3
Calcium,Population 1 an et +,2918,des,Produits céréaliers,des,Pains,des,Craquelins et biscottes,2.2,0.1,2,2.5,mg,0.3,0,,3
Calcium,Population 1 an et +,4760,des,Produits céréaliers,des,Céréales pour déjeuner,des,Céréales pour déjeuner à grains entiers - À l'avoine et à haute teneur en fibres,10.4,0.5,9.5,11.3,mg,1.3,0.1,,3
Calcium,Population 1 an et +,2573,des,Produits céréaliers,des,Céréales pour déjeuner,des,Céréales pour déjeuner (autre),5,0.3,4.4,5.6,mg,0.6,0,,3
Calcium,Population 1 an et +,1777,des,Produits céréaliers,des,Biscuits - gâteaux - tartes - biscuits à la poudre à pâte et barres granola,des,Barres granola,2.8,0.2,2.4,3.1,mg,0.3,0,,3
Calcium,Population 1 an et +,161,des,Produits céréaliers,des,Biscuits - gâteaux - tartes - biscuits à la poudre à pâte et barres granola,des,Gâteaux,0.1,0,0.1,0.2,mg,0,0,,3
Calcium,Population 1 an et +,130,des,Produits céréaliers,des,Biscuits - gâteaux - tartes - biscuits à la poudre à pâte et barres granola,des,Brioches - beignes et autres pâtisseries,0.1,0,0,0.1,mg,0,0,,3
Calcium,Population 1 an et +,,des,Produits céréaliers,des,Biscuits - gâteaux - tartes - biscuits à la poudre à pâte et barres granola,des,Muffins et pains éclairs,X,X,,,mg,X,X,<10,3
Calcium,Population 1 an et +,4543,des,Produits céréaliers,des,Pâtes alimentaires - riz - grains céréaliers et farines,des,Pâtes alimentaires,4.7,0.3,4.2,5.2,mg,0.6,0,,3
Calcium,Population 1 an et +,11102,des,Produits céréaliers,des,Pâtes alimentaires - riz - grains céréaliers et farines,des,Grains céréaliers et farines,3.9,0.1,3.7,4.1,mg,0.5,0,,3
Calcium,Population 1 an et +,4598,des,Produits céréaliers,des,Pâtes alimentaires - riz - grains céréaliers et farines,du,Riz,4.1,0.2,3.8,4.4,mg,0.5,0,,3
Calcium,Population 1 an et +,16680,de la,Viandes et volailles,,,,,16.8,0.3,16.2,17.4,mg,2.1,0,,1
Calcium,Population 1 an et +,7748,de la,Viandes et volailles,de la,Volaille,,,5.7,0.2,5.3,6.1,mg,0.7,0,,2
Calcium,Population 1 an et +,7707,de la,Viandes et volailles,des,Viandes transformées,,,5,0.2,4.6,5.4,mg,0.6,0,,2
Calcium,Population 1 an et +,8751,de la,Viandes et volailles,de la,Viande rouge,,,6.1,0.2,5.7,6.5,mg,0.7,0,,2
Calcium,Population 1 an et +,7209,de la,Viandes et volailles,de la,Volaille,du,Poulet,5.3,0.2,4.9,5.6,mg,0.6,0,,3
Calcium,Population 1 an et +,730,de la,Viandes et volailles,de la,Volaille,de la,Dinde et autres volailles,0.5,0.1,0.3,0.6,mg,0.1,0,E,3
Calcium,Population 1 an et +,4204,de la,Viandes et volailles,des,Viandes transformées,des,Viandes froides,2.7,0.2,2.4,3,mg,0.3,0,,3
Calcium,Population 1 an et +,2502,de la,Viandes et volailles,des,Viandes transformées,des,Saucisses,1.8,0.1,1.6,2.1,mg,0.2,0,,3
Calcium,Population 1 an et +,1878,de la,Viandes et volailles,des,Viandes transformées,du,Bacon,0.3,0,0.2,0.3,mg,0,0,,3
Calcium,Population 1 an et +,902,de la,Viandes et volailles,des,Viandes transformées,du,Porc salé,0.2,0,0.2,0.2,mg,0,0,,3
Calcium,Population 1 an et +,6650,de la,Viandes et volailles,de la,Viande rouge,du,Bœuf,3.8,0.1,3.5,4.1,mg,0.5,0,,3
Calcium,Population 1 an et +,2472,de la,Viandes et volailles,de la,Viande rouge,du,Porc frais,1.9,0.2,1.6,2.3,mg,0.2,0,,3
Calcium,Population 1 an et +,434,de la,Viandes et volailles,de la,Viande rouge,de l',Agneau - veau et gibiers,0.3,0,0.3,0.4,mg,0,0,,3
Calcium,Population 1 an et +,89,de la,Viandes et volailles,de la,Viande rouge,des,Abats - foies et pâtés,0,0,0,0.1,mg,0,0,,3
Calcium,Population 1 an et +,14404,des,Substituts de viande,,,,,32.8,1.2,30.4,35.2,mg,4,0.1,,1
Calcium,Population 1 an et +,11362,des,Substituts de viande,des,Œufs,,,11.9,0.4,11.1,12.7,mg,1.5,0,,2
Calcium,Population 1 an et +,1986,des,Substituts de viande,des,Légumineuses,,,3.9,0.2,3.5,4.4,mg,0.5,0,,2
Calcium,Population 1 an et +,6390,des,Substituts de viande,des,Noix - graines et beurre d'arachides,,,10.5,0.5,9.5,11.4,mg,1.3,0.1,,2
Calcium,Population 1 an et +,550,des,Substituts de viande,du,Tofu et produits sans viande,,,6.5,1,4.5,8.5,mg,0.8,0.1,,2
Calcium,Population 1 an et +,860,des,Boissons et barres nutritionnelles,,,,,10.3,1,8.2,12.3,mg,1.3,0.1,,1
Calcium,Population 1 an et +,708,des,Boissons et barres nutritionnelles,des,Substituts de repas et boissons nutritionnelles,,,8,0.8,6.4,9.7,mg,1,0.1,,2
Calcium,Population 1 an et +,187,des,Boissons et barres nutritionnelles,des,Barres nutritionnelles,,,2.3,0.4,1.4,3.1,mg,0.3,0.1,E,2
Calcium,Population 1 an et +,18438,des,Soupes - sauces - Épices et autres ingrédients,,,,,28.9,0.9,27.1,30.7,mg,3.5,0.1,,1
Calcium,Population 1 an et +,7054,des,Soupes - sauces - Épices et autres ingrédients,des,Sauces et sauces brunes,,,4.1,0.2,3.7,4.4,mg,0.5,0,,2
Calcium,Population 1 an et +,4710,des,Soupes - sauces - Épices et autres ingrédients,des,Soupes,,,3.6,0.2,3.2,4,mg,0.4,0,,2
Calcium,Population 1 an et +,17547,des,Soupes - sauces - Épices et autres ingrédients,des,Épices - assaisonnements et autres ingrédients ,,,21.2,0.9,19.4,23,mg,2.6,0.1,,2
Calcium,Population 1 an et +,16725,des,Confiserie - sucres et grignotines salées,,,,,34.8,1,32.8,36.9,mg,4.3,0.1,,1
Calcium,Population 1 an et +,6211,des,Confiserie - sucres et grignotines salées,des,Confiserie,,,7.6,0.6,6.6,8.7,mg,0.9,0.1,,2
Calcium,Population 1 an et +,2912,des,Confiserie - sucres et grignotines salées,des,Desserts glacés,,,17.8,0.8,16.2,19.5,mg,2.2,0.1,,2
Calcium,Population 1 an et +,4652,des,Confiserie - sucres et grignotines salées,des,Grignotines salées,,,5.1,0.3,4.4,5.7,mg,0.6,0,,2
Calcium,Population 1 an et +,14214,des,Confiserie - sucres et grignotines salées,des,Sucres - sirops et confitures,,,4.3,0.3,3.8,4.8,mg,0.5,0,,2
Calcium,Population 1 an et +,3815,des,Confiserie - sucres et grignotines salées,des,Confiserie,du,Chocolat - bonbons et barres,5.5,0.4,4.7,6.2,mg,0.7,0,,3
Calcium,Population 1 an et +,2559,des,Confiserie - sucres et grignotines salées,des,Confiserie,des,Bonbons,1.2,0.4,0.4,2,mg,0.1,0.1,E,3
Calcium,Population 1 an et +,703,des,Confiserie - sucres et grignotines salées,des,Confiserie,des,Gélatine - garnitures à dessert et poudings,1,0.1,0.8,1.2,mg,0.1,0,,3
Calcium,Population 1 an et +,2447,des,Confiserie - sucres et grignotines salées,des,Desserts glacés,des,Produits laitiers glacés et analogues,17.6,0.8,16,19.2,mg,2.2,0.1,,3
Calcium,Population 1 an et +,560,des,Confiserie - sucres et grignotines salées,des,Desserts glacés,des,Popsicles et sorbet,0.3,0,0.2,0.3,mg,0,0,,3
Calcium,Population 1 an et +,4750,des,Confiserie - sucres et grignotines salées,des,Sucres - sirops et confitures,des,Autres sucres et sirops,3.2,0.3,2.7,3.7,mg,0.4,0,,3
Calcium,Population 1 an et +,12217,des,Confiserie - sucres et grignotines salées,des,Sucres - sirops et confitures,des,Sucres,0.7,0,0.6,0.8,mg,0.1,0,,3
Calcium,Population 1 an et +,2044,des,Confiserie - sucres et grignotines salées,des,Sucres - sirops et confitures,des,Confitures - gelées et marmelades,0.4,0,0.3,0.5,mg,0,0,,3
Calcium,Population 1 an et +,715,des,Confiserie - sucres et grignotines salées,des,Sucres - sirops et confitures,des,Édulcorants,0,0,0,0,mg,0,0,,3
Calcium,Hommes adultes 19 ans +,22,des,Aliments pour bébés,,,,,0.3,0.1,0,0.6,mg,0,0,E,1
Calcium,Hommes adultes 19 ans +,21,des,Aliments pour bébés,des,Produits alimentaires pour bébés,,,0.3,0.1,0,0.6,mg,0,0,E,2
Calcium,Hommes adultes 19 ans +,,des,Aliments pour bébés,des,Préparation pour nourrissons,,,X,X,,,mg,X,X,<10,2
Calcium,Hommes adultes 19 ans +,6187,des,Boissons (excluant laits),,,,,67.8,2.1,63.7,71.8,mg,7.9,0.2,,1
Calcium,Hommes adultes 19 ans +,1946,des,Boissons (excluant laits),de l',Alcool,,,9.5,0.5,8.5,10.6,mg,1.1,0.1,,2
Calcium,Hommes adultes 19 ans +,5104,des,Boissons (excluant laits),du,Café et thé,,,8.9,0.4,8,9.8,mg,1,0.1,,2
Calcium,Hommes adultes 19 ans +,53,des,Boissons (excluant laits),des,Boissons Énergisantes,,,0.2,0,0.1,0.2,mg,0,0,,2
Calcium,Hommes adultes 19 ans +,479,des,Boissons (excluant laits),des,Boissons aux fruits,,,2.1,0.4,1.3,3,mg,0.3,0.1,E,2
Calcium,Hommes adultes 19 ans +,1862,des,Boissons (excluant laits),des,Jus de fruit,,,13.7,1.3,11.1,16.3,mg,1.6,0.2,,2
Calcium,Hommes adultes 19 ans +,113,des,Boissons (excluant laits),des,Autres boissons,,,F,F,,,mg,F,F,F,2
Calcium,Hommes adultes 19 ans +,1751,des,Boissons (excluant laits),des,Boissons gazeuses,,,3.8,0.2,3.4,4.2,mg,0.4,0,,2
Calcium,Hommes adultes 19 ans +,128,des,Boissons (excluant laits),des,Boissons pour sportifs,,,0.1,0,0,0.2,mg,0,0,,2
Calcium,Hommes adultes 19 ans +,174,des,Boissons (excluant laits),des,Jus de tomates et de légumes,,,1.2,0.2,0.8,1.5,mg,0.1,0,E,2
Calcium,Hommes adultes 19 ans +,24,des,Boissons (excluant laits),de l',Eau vitaminée,,,0,0,0,0,mg,0,0,,2
Calcium,Hommes adultes 19 ans +,5620,des,Boissons (excluant laits),de l',Eau,,,27.2,1.3,24.6,29.8,mg,3.2,0.2,,2
Calcium,Hommes adultes 19 ans +,4276,des,Boissons (excluant laits),du,Café et thé,du,Café,8.1,0.4,7.3,8.9,mg,0.9,0.1,,3
Calcium,Hommes adultes 19 ans +,1782,des,Boissons (excluant laits),du,Café et thé,du,Thé,0.8,0.2,0.5,1.1,mg,0.1,0,E,3
Calcium,Hommes adultes 19 ans +,5798,des,Produits laitiers et Boissons à base de plantes,,,,,453.6,12.2,429.7,477.5,mg,52.9,0.7,,1
Calcium,Hommes adultes 19 ans +,3514,des,Produits laitiers et Boissons à base de plantes,des,Fromages,,,198.4,8.6,181.5,215.3,mg,23.1,0.8,,2
Calcium,Hommes adultes 19 ans +,5221,des,Produits laitiers et Boissons à base de plantes,des,Laits et boissons à base de plantes,,,229.1,7.3,214.7,243.4,mg,26.7,0.7,,2
Calcium,Hommes adultes 19 ans +,926,des,Produits laitiers et Boissons à base de plantes,des,Yogourts,,,26.1,2,22.2,30,mg,3,0.2,,2
Calcium,Hommes adultes 19 ans +,3759,des,Produits laitiers et Boissons à base de plantes,des,Laits et boissons à base de plantes,du,Lait 2%,103.6,4.5,94.8,112.4,mg,12.1,0.5,,3
Calcium,Hommes adultes 19 ans +,1819,des,Produits laitiers et Boissons à base de plantes,des,Laits et boissons à base de plantes,du,Lait 1%,52.6,3.3,46.2,59,mg,6.1,0.4,,3
Calcium,Hommes adultes 19 ans +,1648,des,Produits laitiers et Boissons à base de plantes,des,Laits et boissons à base de plantes,du,Lait entier,29.3,4.1,21.3,37.4,mg,3.4,0.5,,3
Calcium,Hommes adultes 19 ans +,1812,des,Produits laitiers et Boissons à base de plantes,des,Laits et boissons à base de plantes,du,Lait écrémé,19.1,1.9,15.5,22.8,mg,2.2,0.2,,3
Calcium,Hommes adultes 19 ans +,1727,des,Produits laitiers et Boissons à base de plantes,des,Laits et boissons à base de plantes,de la,Crème et autres types de lait,12.8,1.3,10.3,15.3,mg,1.5,0.1,,3
Calcium,Hommes adultes 19 ans +,208,des,Produits laitiers et Boissons à base de plantes,des,Laits et boissons à base de plantes,des,Boissons à base de plantes,11.6,1.9,7.9,15.3,mg,1.4,0.2,,3
Calcium,Hommes adultes 19 ans +,5767,des,Graisses et huiles,,,,,2.9,0.1,2.7,3.1,mg,0.3,0,,1
Calcium,Hommes adultes 19 ans +,333,des,Graisses et huiles,des,Graisses animales,,,0,0,0,0,mg,0,0,,2
Calcium,Hommes adultes 19 ans +,1787,des,Graisses et huiles,du,Beurre,,,0.8,0.1,0.7,0.9,mg,0.1,0,,2
Calcium,Hommes adultes 19 ans +,3473,des,Graisses et huiles,des,Margarines,,,0.7,0,0.6,0.7,mg,0.1,0,,2
Calcium,Hommes adultes 19 ans +,2260,des,Graisses et huiles,des,Sauces pour salade,,,1.4,0.1,1.2,1.6,mg,0.2,0,,2
Calcium,Hommes adultes 19 ans +,2319,des,Graisses et huiles,du,Shortening,,,0,0,0,0,mg,0,0,,2
Calcium,Hommes adultes 19 ans +,3212,des,Graisses et huiles,des,Huiles végétales,,,0,0,0,0,mg,0,0,,2
Calcium,Hommes adultes 19 ans +,1146,des,Poissons et fruits de mer,,,,,10.3,0.9,8.6,12.1,mg,1.2,0.1,,1
Calcium,Hommes adultes 19 ans +,910,des,Poissons et fruits de mer,des,Poissons,,,7.6,0.8,6.1,9.2,mg,0.9,0.1,,2
Calcium,Hommes adultes 19 ans +,343,des,Poissons et fruits de mer,des,Mollusques et crustacés,,,2.7,0.4,1.9,3.4,mg,0.3,0,,2
Calcium,Hommes adultes 19 ans +,5918,des,Fruits et légumes,,,,,69.7,1.8,66.2,73.2,mg,8.1,0.2,,1
Calcium,Hommes adultes 19 ans +,3876,des,Fruits et légumes,des,Fruits,,,17.9,0.7,16.5,19.2,mg,2.1,0.1,,2
Calcium,Hommes adultes 19 ans +,5694,des,Fruits et légumes,des,Légumes incluant pommes de terre,,,51.9,1.5,48.8,54.9,mg,6,0.2,,2
Calcium,Hommes adultes 19 ans +,1019,des,Fruits et légumes,des,Fruits,des,Agrumes,6.5,0.5,5.5,7.4,mg,0.8,0.1,,3
Calcium,Hommes adultes 19 ans +,1350,des,Fruits et légumes,des,Fruits,des,Pomme,2.4,0.1,2.1,2.7,mg,0.3,0,,3
Calcium,Hommes adultes 19 ans +,603,des,Fruits et légumes,des,Fruits,des,Autres fruits,2.3,0.4,1.5,3,mg,0.3,0,E,3
Calcium,Hommes adultes 19 ans +,1590,des,Fruits et légumes,des,Fruits,des,Banane,1.7,0.1,1.5,1.8,mg,0.2,0,,3
Calcium,Hommes adultes 19 ans +,1066,des,Fruits et légumes,des,Fruits,des,Baies,1.6,0.1,1.3,1.9,mg,0.2,0,,3
Calcium,Hommes adultes 19 ans +,782,des,Fruits et légumes,des,Fruits,des,Raisins et raisins secs,1,0.1,0.8,1.2,mg,0.1,0,,3
Calcium,Hommes adultes 19 ans +,247,des,Fruits et légumes,des,Fruits,des,Melons,0.9,0.1,0.6,1.2,mg,0.1,0,,3
Calcium,Hommes adultes 19 ans +,188,des,Fruits et légumes,des,Fruits,des,Poires,0.5,0.1,0.3,0.6,mg,0.1,0,E,3
Calcium,Hommes adultes 19 ans +,169,des,Fruits et légumes,des,Fruits,des,Cerises,0.3,0.1,0.2,0.4,mg,0,0,E,3
Calcium,Hommes adultes 19 ans +,170,des,Fruits et légumes,des,Fruits,des,Pêches et nectarines,0.3,0,0.2,0.3,mg,0,0,,3
Calcium,Hommes adultes 19 ans +,252,des,Fruits et légumes,des,Fruits,des,Ananas,0.4,0.1,0.3,0.5,mg,0,0,E,3
Calcium,Hommes adultes 19 ans +,110,des,Fruits et légumes,des,Fruits,des,Prunes et pruneaux,0.1,0,0.1,0.2,mg,0,0,,3
Calcium,Hommes adultes 19 ans +,4860,des,Fruits et légumes,des,Légumes incluant pommes de terre,des,Autres légumes,22.8,0.7,21.5,24.2,mg,2.7,0.1,,3
Calcium,Hommes adultes 19 ans +,2999,des,Fruits et légumes,des,Légumes incluant pommes de terre,des,Légumes vert foncé,17.1,1.1,15,19.2,mg,2,0.1,,3
Calcium,Hommes adultes 19 ans +,2838,des,Fruits et légumes,des,Légumes incluant pommes de terre,des,Légumes féculents,7,0.4,6.3,7.7,mg,0.8,0,,3
Calcium,Hommes adultes 19 ans +,1991,des,Fruits et légumes,des,Légumes incluant pommes de terre,des,Légumes jaune foncé ou orange,5,0.3,4.3,5.6,mg,0.6,0,,3
Calcium,Hommes adultes 19 ans +,6068,des,Produits céréaliers,,,,,113.2,2,109.3,117.1,mg,13.2,0.3,,1
Calcium,Hommes adultes 19 ans +,5104,des,Produits céréaliers,des,Pains,,,80.3,1.9,76.6,84.1,mg,9.4,0.2,,2
Calcium,Hommes adultes 19 ans +,1921,des,Produits céréaliers,des,Céréales pour déjeuner,,,14.5,1,12.6,16.4,mg,1.7,0.1,,2
Calcium,Hommes adultes 19 ans +,1375,des,Produits céréaliers,des,Biscuits - gâteaux - tartes - biscuits à la poudre à pâte et barres granola,,,5.2,0.4,4.4,6,mg,0.6,0,,2
Calcium,Hommes adultes 19 ans +,4551,des,Produits céréaliers,des,Pâtes alimentaires - riz - grains céréaliers et farines,,,13.2,0.5,12.3,14.1,mg,1.5,0.1,,2
Calcium,Hommes adultes 19 ans +,2752,des,Produits céréaliers,des,Pains,des,Pains et petits pains blancs,39.5,1.5,36.6,42.3,mg,4.6,0.2,,3
Calcium,Hommes adultes 19 ans +,1980,des,Produits céréaliers,des,Pains,des,Pains et petits pains à grains entiers et blé entier,21.9,1,19.9,23.9,mg,2.6,0.1,,3
Calcium,Hommes adultes 19 ans +,1885,des,Produits céréaliers,des,Pains,des,Autres produits panifiés,17.7,1.1,15.6,19.9,mg,2.1,0.1,,3
Calcium,Hommes adultes 19 ans +,593,des,Produits céréaliers,des,Pains,des,Craquelins et biscottes,1.2,0.1,0.9,1.5,mg,0.1,0,,3
