Nutrient,Age-sex group (*: excludes pregnant or breastfeeding),N,Food group_level1,Food group_level2,Food group_level3,Amount,Amount_SE,L95%CI,U95%CI,Unit,Percentage,Percentage_SE,Interpretation_Notes,Food_Group_Level
Calcium,Population 1 an et +,7748,Viandes et volailles,Volaille,,5.7179322,0.2,5.3,6.1,mg,0.700086097,0,,2
Calcium,Population 1 an et +,7209,Viandes et volailles,Volaille,Poulet,5.2592555,0.2,4.9,5.6,mg,0.643927132,0,,3
Calcium,Population 1 an et +,730,Viandes et volailles,Volaille,Dinde et autres volailles,0.4586767,0.1,0.3,0.6,mg,0.056158965,0,,3
Calcium,Population 1 an et +,7707,Viandes et volailles,Viandes transformées,,4.9980541,0.2,4.6,5.4,mg,0.611946433,0,,2
Calcium,Population 1 an et +,1878,Viandes et volailles,Viandes transformées,Bacon,0.2833956,0,0.2,0.3,mg,0.034698087,0,,3
Calcium,Population 1 an et +,902,Viandes et volailles,Viandes transformées,Porc salé,0.1791718,0,0.2,0.2,mg,0.021937251,0,,3
Calcium,Population 1 an et +,4204,Viandes et volailles,Viandes transformées,Viandes froides,2.7035621,0.2,2.4,3,mg,0.331015855,0,,3
Calcium,Population 1 an et +,2502,Viandes et volailles,Viandes transformées,Saucisses,1.8319246,0.1,1.6,2.1,mg,0.22429524,0,,3
Calcium,Population 1 an et +,8751,Viandes et volailles,Viande rouge,,6.1033329,0.2,5.7,6.5,mg,0.747273376,0,,2
Calcium,Population 1 an et +,6650,Viandes et volailles,Viande rouge,Bœuf,3.7977386,0.1,3.5,4.1,mg,0.464983473,0,,3
Calcium,Population 1 an et +,434,Viandes et volailles,Viande rouge,Agneau - veau et gibiers,0.3467128,0,0.3,0.4,mg,0.04245045,0,,3
Calcium,Population 1 an et +,89,Viandes et volailles,Viande rouge,Abats - foies et pâtés,0.0392654,0,0,0.1,mg,0.004807541,0,E,3
Calcium,Population 1 an et +,2472,Viandes et volailles,Viande rouge,Porc frais,1.9196161,0.2,1.6,2.3,mg,0.235031912,0,,3
Calcium,Population 1 an et +,14404,Substituts de viande,,,32.8048354,1.2,30.4,35.2,mg,4.016523531,0.1,,1
Calcium,Population 1 an et +,11362,Substituts de viande,Œufs,,11.8863648,0.4,11.1,12.7,mg,1.455330088,0,,2
Calcium,Population 1 an et +,1986,Substituts de viande,Légumineuses,,3.938075,0.2,3.5,4.4,mg,0.482165843,0,,2
Calcium,Population 1 an et +,6390,Substituts de viande,Noix - graines et beurre d'arachides,,10.4817769,0.5,9.5,11.4,mg,1.283356644,0.1,,2
Calcium,Population 1 an et +,550,Substituts de viande,Tofu et produits sans viande,,6.4986187,1,4.5,8.5,mg,0.795670957,0.1,,2
Calcium,Population 1 an et +,860,Boissons et barres nutritionnelles,,,10.2868481,1,8.2,12.3,mg,1.259490161,0.1,,1
Calcium,Population 1 an et +,708,Boissons et barres nutritionnelles,Substituts de repas et boissons nutritionnelles,,8.0298296,0.8,6.4,9.7,mg,0.983147738,0.1,,2
Calcium,Population 1 an et +,187,Boissons et barres nutritionnelles,Barres nutritionnelles,,2.2570184,0.4,1.4,3.1,mg,0.276342423,0.1,E,2
Calcium,Population 1 an et +,18438,Soupes - sauces - épices et autres ingrédients,,,28.8855901,0.9,27.1,30.7,mg,3.536663146,0.1,,1
Calcium,Population 1 an et +,7054,Soupes - sauces - épices et autres ingrédients,Sauces et sauces brunes,,4.0590956,0.2,3.7,4.4,mg,0.496983229,0,,2
