Food Group Name_Level 1,Food Group Name_Level 2,Food Group Name_Level 3,Description of the Contents of the Food Groups and Sub-groups
,,Muffins et pains éclairs,"Barres muffin, dans le cadre de l’enquête, les muffins et les pains éclair sont codés comme des recettes."
,,Tartes,"Dans le cadre de l’enquête, les tartes sont codés comme des recettes."
,Pâtes alimentaires - riz - grains céréaliers et farines,,"Pâtes, riz, grains et farines"
,,Grains céréaliers et farines,"Farine provenant de tous les grains, les haricots, les graines ou les légumes ; grains comme le quinoa, le millet, le boulgour, le triticale, le tef. La plupart de ces aliments sont des ingrédients dans des recettes."
,,Pâtes alimentaires,"Tous les types de pâtes, de blé et autres que le blé (p. ex. maïs, riz, sarrasin, japonaises)"
,,Riz,"Tous les types de riz, blanc (instantané, étuvé, régulier), brun et sauvage"
Substituts de viande,,,"Œufs, légumineuses, noix et graines, tofu et produits sans viande"
,Œufs,,"Tous les œufs de volaille, le blanc d’œuf et le jaune d’œuf (poule, canard, oie et dinde)"
,Légumineuses,,"Haricots secs et en conserve, pois, légumineuses, houmous, « fèves au lard » et haricots frits"
,Noix - graines et beurre d'arachides,,"Noix, graines et beurres de noix (amande, cajou, arachide, sésame et tournesol) "
,Tofu et produits sans viande,,"Tofu, tempeh, produits sans viande (comme les simili-saucisses et les galettes pour des burgers de soja)"
Viandes et volailles,,,"Viande, viandes transformées et volaille"
,Viande rouge,,"Bœuf, agneau, veau, viandes de gibier, porc frais, foie et abats"
,,Bœuf,"Comprends le bœuf haché et la plupart des coupes de bœuf. Ne comprends pas les saucisses (voir Saucisses), les viandes froides (voir Viandes froides) et la viande séchée (voir Grignotines salées)."
,,Agneau - veau et gibiers,"Comprends la plupart des coupes de veau, d’agneau et de viandes de gibier, comprends les viandes hachées. Ne comprends pas les saucisses (voir Saucisses), les viandes froides (voir Viandes froides) et la viande séchée (voir les Grignotines salées)."
,,Abats - foies et pâtés,"Tous les types de foie (bœuf, poulet, viandes de gibier), pâté de foie et tous les autres types d’abats (rognon, gésier, cœur)"
,,Porc frais,Comprends le porc haché et la plupart des coupes de porc frais
,Viandes transformées,,"Bacon, jambon, viandes froides et saucisses"
,,Bacon,"Bacon de porc salé, miettes de bacon, bacon de dinde"
,,Viandes froides,"Tous les types de viandes froides, de viandes froides en conserve et les viandes à tartiner. Ne comprends pas le pâté de foie (voir Abats - foies et pâtés)"
,,Porc salé,"Porc salé, jambon et flocons de jambon"
,,Saucisses,"Saucisses fraîches ou saumurées, saucisses fumées, faites à partir de tous les types de viande"
,Volaille,,"Poulet, dinde et autre volaille"
,,Poulet,Comprends le poulet haché et la plupart des coupes de poulet
,,Dinde et autres volailles,"Comprends la dinde hachée et la plupart des coupes de dinde et d’autres volailles (canard, émeu, oie, pintade, autruche, faisan, caille)"
Boissons et barres nutritionnelles,,,"Barres énergétiques, barres protéinées, boissons nutritionnelles, substituts de repas, protéines en poudre et boissons protéinées"
,Substituts de repas et boissons nutritionnelles,,"Boissons nutritionnelles, substituts de repas (en poudre et prêt-à-boire), protéine en poudre et boissons protéinées"
,Barres nutritionnelles,,Barres énergétiques et protéinées
Soupes - sauces - épices et autres ingrédients,,,"Soupes, sauces, épices, assaisonnement, légumes marinés et ingrédients de boulangerie "
,Sauces et sauces brunes,,"Condiments, sauce soya, salsa, sauces blanches et au fromage et sauces prêtes-à-servir, en conserve et déshydratées"
,Soupes,,"Toutes les soupes commerciales, prêtes-à-manger, en conserve, concentrées et déshydratées. Dans le cadre de l’enquête, certaines soupes sont codés comme des recettes si elles sont faites maison."
,Épices - assaisonnements et autres ingrédients  (tous les nutriments excluant sodium),,"Comprends les herbes, les épices, le sel, les légumes marinés, le colorant à café, le vinaigre et les produits de boulangerie comme les agents de levage, le cacao et l’extrait de vanille"
,Épices - assaisonnements et autres ingrédients (sodium uniquement),,"Comprends les herbes, les épices, le sel, le colorant à café, le vinaigre et les produits de boulangerie comme les agents de levage, le cacao et l’extrait de vanille"
Confiserie - sucres et grignotines salées,,,"Confiseries, desserts glacés, sucres, sirops et grignotines salées"
,Confiserie,,"Bonbons, friandises au chocolat et barres de chocolat, jello et poudings"
,,Bonbons,"Glaçage, gomme à mâcher, guimauve, fudge, pâtes de fruits, réglisse et tous les types de bonbons"
,,Chocolat - bonbons et barres,"Chocolat, friandise au chocolat, barres de chocolat et pépites de chocolat"
,,Gélatine - garnitures à dessert et poudings,"Pouding et desserts à base de gélatine prêts-à-manger et à partir de préparations, nappages à desserts, succédanés de crème et flan aux œufs"
,Desserts glacés,,"Sucettes glacées, sorbet et autres produits laitiers glacés et analogues "
,,Produits laitiers glacés et analogues,"Crème glacée, yogourt glacé, produits de crèmes glacées et de laits glacés "
,,Popsicles et sorbet,"Toutes les variétés de desserts glacés : sucettes glacées, barres, sorbets"
,Grignotines salées,,"Maïs à éclater (nature et au caramel), galettes de riz, bretzel, croustilles, croustilles de maïs, maïs soufflé et collation de cône de maïs, viande séchée et mélange montagnard"
,Sucres - sirops et confitures,,"Sucre, substituts de sucre, sirops, confitures et gelées"
,,Confitures - gelées et marmelades,"Confitures, gelées et marmelades ordinaires et diététiques"
,,Sucres,"Sucre blanc, brun, turbinado"
,,Édulcorants,Tous les types d’édulcorants artificiels
,,Autres sucres et sirops,"Sirop (de maïs, d’érable, de chocolat, de malt, etc.), miel, mélasse et garnitures"
